record_id,ok,status
timit_FADG0,True,ok
timit_FAKS0,False,invalid_final
timit_FASW0,False,invalid_final
timit_FAWF0,True,ok
timit_FCAL1,False,invalid_final
timit_FCAU0,False,invalid_final
timit_FCFT0,False,invalid_final
timit_FCMH0,False,invalid_final
timit_FCMH1,False,invalid_final
timit_FCMR0,True,ok
timit_FCRH0,True,ok
timit_FDAC1,False,invalid_final
timit_FDHC0,False,invalid_final
timit_FDMS0,True,ok
timit_FDRD1,True,ok
timit_FDRW0,True,ok
timit_FEDW0,False,invalid_final
timit_FELC0,True,ok
timit_FGJD0,True,ok
timit_FGMD0,True,ok
timit_FGWR0,True,ok
timit_FHES0,True,ok
timit_FHEW0,True,ok
timit_FISB0,False,invalid_final
timit_FJAS0,False,invalid_final
timit_FJCS0,True,ok
timit_FJEM0,True,ok
timit_FJLM0,False,invalid_final
timit_FJMG0,True,ok
timit_FJRE0,True,ok
timit_FJSA0,True,ok
timit_FJSJ0,True,ok
timit_FJWB0,True,ok
timit_FKMS0,True,ok
timit_FLAS0,True,ok
timit_FLBW0,False,invalid_final
timit_FLKD0,True,ok
timit_FLNH0,True,ok
timit_FMAF0,True,ok
timit_FMAH0,False,invalid_final
