record_id,ok,status
childes_amy_0000_0039,True,ok
childes_amy_0040_0079,True,ok
childes_betty_0000_0039,True,ok
childes_betty_0040_0079,True,ok
childes_chuck_0000_0039,True,ok
childes_chuck_0040_0079,True,ok
childes_doug_0000_0039,True,ok
childes_ed_0000_0039,True,ok
childes_ed_0040_0079,True,ok
childes_frank_0000_0039,True,ok
childes_frank_0040_0079,True,ok
childes_gloria_0000_0039,True,ok
childes_gloria_0040_0079,True,ok
childes_hank_0000_0039,True,ok
childes_hank_0040_0079,True,ok
childes_ivy_0000_0039,True,ok
childes_ivy_0040_0079,True,ok
childes_jane_0000_0039,True,ok
childes_jane_0040_0079,True,ok
childes_jim_0000_0039,True,ok
childes_jim_0040_0079,True,ok
childes_kathy_0000_0039,True,ok
childes_kathy_0040_0079,True,ok
childes_keith_0000_0039,True,ok
childes_keith_0040_0079,True,ok
childes_kent_0000_0039,True,ok
childes_kent_0040_0079,True,ok
childes_linda_0000_0039,True,ok
childes_linda_0040_0079,True,ok
childes_mandy_0000_0039,True,ok
childes_mandy_0040_0079,True,ok
childes_nan_0000_0039,True,ok
childes_nan_0040_0079,True,ok
childes_olivia_0000_0039,True,ok
childes_olivia_0040_0079,True,ok
childes_paula_0000_0039,True,ok
childes_paula_0040_0079,True,ok
childes_pete_0000_0039,True,ok
childes_pete_0040_0079,True,ok
childes_ruth_0000_0039,True,ok
childes_ruth_0040_0079,True,ok
childes_steve_0000_0039,True,ok
childes_steve_0040_0079,True,ok
childes_sue_0000_0039,True,ok
childes_sue_0040_0079,True,ok
childes_tom_0000_0039,True,ok
childes_tom_0040_0079,True,ok
childes_vicki_0000_0039,True,ok
childes_wanda_0000_0039,True,ok
childes_wanda_0040_0079,True,ok
childes_adam0915_target_0048_0087,True,ok
childes_adam0915_target_0059_0098,True,ok
childes_adam0915_target_0062_0101,True,ok
childes_adam0903_target_0000_0039,True,ok
childes_adam0903_target_0005_0044,True,ok
childes_adam0917_target_0000_0039,True,ok
childes_adam0917_target_0009_0048,True,ok
childes_adam0902_target_0000_0039,True,ok
childes_adam0916_target_0000_0039,True,ok
childes_adam0916_target_0003_0042,True,ok
childes_adam0916_target_0018_0057,True,ok
childes_adam0901_target_0000_0039,True,ok
childes_nortrevo_target_0012_0051,True,ok
childes_nortrevo_target_0015_0054,True,ok
childes_nortrevo_target_0095_0134,True,ok
childes_adam0923_target_0000_0039,True,ok
childes_adam0923_target_0013_0052,True,ok
childes_normered_target_0000_0039,True,ok
childes_normered_target_0097_0136,True,ok
childes_normelis_target_0000_0039,True,ok
childes_normelis_target_0004_0043,True,ok
childes_normelis_target_0014_0053,True,ok
childes_normarjo_target_0098_0137,True,ok
childes_normarjo_target_0145_0184,True,ok
childes_alice3_target_0015_0054,True,ok
