bundle_id,valid,validation_errors,event_count_precision,event_count_recall,event_count_f1,event_count_mae,word_link_accuracy,invalid_link_rate,boundary_error_ms
timit_FADG0,True,[],0.6404494382022472,0.6404494382022472,0.6404494382022472,4.4,0.6904761904761905,0.10714285714285714,258.0071271929824
timit_FAKS0,True,[],0.5528455284552846,0.6238532110091743,0.5862068965517241,8.4,0.6595744680851063,0.21052631578947367,309.5165441176471
timit_FASW0,True,[],0.8144329896907216,0.5602836879432624,0.6638655462184875,8.8,0.711864406779661,0.2857142857142857,444.42958860759495
timit_FAWF0,True,[],0.7102803738317757,0.6440677966101694,0.6755555555555555,4.2,0.6851851851851852,0.21666666666666667,373.36513157894734
timit_FCAL1,True,[],0.6979166666666666,0.6320754716981132,0.6633663366336633,6.0,0.7755102040816326,0.18032786885245902,282.2532649253731
timit_FCAU0,True,[],0.686046511627907,0.472,0.5592417061611374,13.4,0.7317073170731707,0.16666666666666666,363.4735169491526
timit_FCFT0,True,[],0.5368421052631579,0.6455696202531646,0.5862068965517242,6.0,0.8611111111111112,0.20408163265306123,117.8014705882353
timit_FCMH0,True,[],0.5384615384615384,0.5773195876288659,0.5572139303482586,11.0,0.7105263157894737,0.14705882352941177,375.25
timit_FCMH1,True,[],0.680672268907563,0.6585365853658537,0.6694214876033059,4.4,0.7666666666666667,0.13924050632911392,269.2372685185185
timit_FCMR0,True,[],0.6198347107438017,0.6818181818181818,0.6493506493506493,11.0,0.6785714285714286,0.18421052631578946,277.9625
timit_FCRH0,True,[],0.7625,0.6039603960396039,0.6740331491712708,7.0,0.7608695652173914,0.23076923076923078,307.1296106557377
timit_FDAC1,True,[],0.81,0.413265306122449,0.5472972972972974,19.2,0.96,0.28846153846153844,382.13271604938274
timit_FDHC0,True,[],0.5915492957746479,0.49411764705882355,0.5384615384615384,3.6,0.5769230769230769,0.14285714285714285,461.59077380952385
timit_FDMS0,True,[],0.6262626262626263,0.6138613861386139,0.62,3.2,0.9090909090909091,0.16363636363636364,213.5745967741935
timit_FDRD1,True,[],0.6304347826086957,0.5321100917431193,0.5771144278606966,7.4,0.9090909090909091,0.21739130434782608,273.7101293103448
timit_FDRW0,True,[],0.6744186046511628,0.58,0.6236559139784946,7.6,0.8205128205128205,0.2619047619047619,233.03717672413794
timit_FEDW0,True,[],0.6410256410256411,0.4098360655737705,0.5,8.8,0.9,0.1956521739130435,251.373125
timit_FELC0,True,[],0.7926829268292683,0.48872180451127817,0.6046511627906976,10.2,0.9565217391304348,0.25,347.75192307692305
timit_FGJD0,True,[],0.6071428571428571,0.3893129770992366,0.4744186046511628,10.6,0.8,0.2647058823529412,311.92892156862746
timit_FGMD0,True,[],0.5779816513761468,0.6847826086956522,0.6268656716417911,7.4,0.6458333333333334,0.12,337.6904761904762
timit_FGWR0,True,[],0.6941176470588235,0.5267857142857143,0.5989847715736041,9.4,0.7073170731707317,0.2413793103448276,358.0720338983051
timit_FHES0,True,[],0.5789473684210527,0.5555555555555556,0.5670103092783506,6.0,0.8095238095238095,0.22033898305084745,371.6835227272727
timit_FHEW0,True,[],0.4838709677419355,0.7627118644067796,0.5921052631578948,17.6,0.6111111111111112,0.10071942446043165,545.4947916666667
timit_FISB0,True,[],0.8823529411764706,0.5,0.6382978723404256,13.0,0.8113207547169812,0.2962962962962963,374.76375
timit_FJAS0,True,[],0.7866666666666666,0.5363636363636364,0.6378378378378379,7.0,0.875,0.26666666666666666,313.8675847457627
timit_FJCS0,True,[],0.8064516129032258,0.5,0.6172839506172839,7.6,0.9459459459459459,0.1590909090909091,220.75125
timit_FJEM0,True,[],0.5576923076923077,0.4496124031007752,0.49785407725321884,11.4,0.7948717948717948,0.27586206896551724,404.59428879310343
timit_FJLM0,True,[],0.6585365853658537,0.421875,0.5142857142857142,9.2,0.7575757575757576,0.22448979591836735,489.93923611111114
timit_FJMG0,True,[],0.5789473684210527,0.5238095238095238,0.5500000000000002,6.0,0.7777777777777778,0.16,353.6147727272727
timit_FJRE0,True,[],0.8431372549019608,0.4777777777777778,0.6099290780141844,7.8,0.7307692307692307,0.4,361.54796511627904
timit_FJSA0,True,[],0.48255813953488375,0.6747967479674797,0.5627118644067798,15.4,0.6417910447761194,0.09836065573770492,616.812876506024
timit_FJSJ0,True,[],0.416,0.6046511627906976,0.4928909952606635,10.2,0.7105263157894737,0.13333333333333333,378.2938701923077
timit_FJWB0,True,[],0.4968152866242038,0.6,0.5435540069686411,15.0,0.6666666666666666,0.12844036697247707,528.7435897435897
timit_FKMS0,True,[],0.6867469879518072,0.5757575757575758,0.6263736263736265,7.6,0.9714285714285714,0.40476190476190477,245.9002192982456
timit_FLAS0,True,[],0.46875,0.47368421052631576,0.4712041884816754,11.0,0.5666666666666667,0.11864406779661017,439.3284722222223
timit_FLBW0,True,[],0.6436781609195402,0.6746987951807228,0.6588235294117646,5.2,0.475,0.1509433962264151,481.23995535714283
timit_FLKD0,True,[],0.7325581395348837,0.5833333333333334,0.6494845360824741,6.4,0.6222222222222222,0.1724137931034483,373.38640873015873
timit_FLNH0,True,[],0.3819444444444444,0.6179775280898876,0.4721030042918455,14.2,0.7380952380952381,0.10377358490566038,306.0017045454546
timit_FMAF0,True,[],0.6470588235294118,0.4888888888888889,0.5569620253164557,5.2,0.9285714285714286,0.3333333333333333,221.96875
timit_FMAH0,True,[],0.5503875968992248,0.7029702970297029,0.6173913043478262,9.6,0.5636363636363636,0.189873417721519,516.7724471830985
