record_id,ok,status
timit_FADG0,True,ok
timit_FAKS0,True,ok
timit_FASW0,True,ok
timit_FAWF0,True,ok
timit_FCAL1,True,ok
timit_FCAU0,True,ok
timit_FCFT0,True,ok
timit_FCMH0,True,ok
timit_FCMH1,True,ok
timit_FCMR0,True,ok
timit_FCRH0,True,ok
timit_FDAC1,True,ok
timit_FDHC0,True,ok
timit_FDMS0,True,ok
timit_FDRD1,True,ok
timit_FDRW0,True,ok
timit_FEDW0,True,ok
timit_FELC0,True,ok
timit_FGJD0,True,ok
timit_FGMD0,True,ok
timit_FGWR0,True,ok
timit_FHES0,True,ok
timit_FHEW0,True,ok
timit_FISB0,True,ok
timit_FJAS0,True,ok
timit_FJCS0,True,ok
timit_FJEM0,True,ok
timit_FJLM0,True,ok
timit_FJMG0,True,ok
timit_FJRE0,True,ok
timit_FJSA0,True,ok
timit_FJSJ0,True,ok
timit_FJWB0,True,ok
timit_FKMS0,True,ok
timit_FLAS0,True,ok
timit_FLBW0,True,ok
timit_FLKD0,True,ok
timit_FLNH0,True,ok
timit_FMAF0,True,ok
timit_FMAH0,True,ok
