record_id,ok,status
timit_FADG0,False,invalid_final
timit_FAKS0,True,ok
timit_FASW0,False,invalid_final
timit_FAWF0,False,invalid_final
timit_FCAL1,False,invalid_final
timit_FCAU0,True,ok
timit_FCFT0,True,ok
timit_FCMH0,True,ok
timit_FCMH1,False,invalid_final
timit_FCMR0,True,ok
timit_FCRH0,True,ok
timit_FDAC1,True,ok
timit_FDHC0,True,ok
timit_FDMS0,False,invalid_final
timit_FDRD1,True,ok
timit_FDRW0,True,ok
timit_FEDW0,False,invalid_final
timit_FELC0,False,invalid_final
timit_FGJD0,True,ok
timit_FGMD0,False,invalid_final
timit_FGWR0,True,ok
timit_FHES0,False,invalid_final
timit_FHEW0,True,ok
timit_FISB0,True,ok
timit_FJAS0,True,ok
timit_FJCS0,True,ok
timit_FJEM0,True,ok
timit_FJLM0,False,invalid_final
timit_FJMG0,False,invalid_final
timit_FJRE0,True,ok
timit_FJSA0,False,invalid_final
timit_FJSJ0,False,invalid_final
timit_FJWB0,False,invalid_final
timit_FKMS0,True,ok
timit_FLAS0,False,invalid_final
timit_FLBW0,False,invalid_final
timit_FLKD0,False,invalid_final
timit_FLNH0,False,invalid_final
timit_FMAF0,True,ok
timit_FMAH0,False,invalid_final
